id,Region,Año,Hombre,Mujer,Total
1,España (ES),2019,7.97,6.43,7.19
2,Andalucía (AN),2019,8.39,7.1,7.74
3,Aragón (AR),2019,7.78,6.05,6.9
4,"Asturias, Principado de (AS)",2019,8.39,6.75,7.53
5,"Balears, Illes (IB)",2019,7.27,5.44,6.35
6,Canarias (CN),2019,9.28,8.41,8.84
7,Cantabria (CB),2019,7.38,5.91,6.62
8,Castilla y León (CL),2019,8.36,6.79,7.56
9,Castilla - La Mancha (CM),2019,6.94,5.32,6.13
10,Cataluña (CT),2019,8.31,6.46,7.37
11,Comunitat Valenciana (VC),2019,8.61,6.96,7.77
12,Extremadura (EX),2019,6.42,6.11,6.26
13,Galicia (GA),2019,9.33,7.59,8.43
14,"Madrid, Comunidad de (MD)",2019,6.47,5.01,5.71
15,"Murcia, Región de (MC)",2019,8.97,7.29,8.13
16,"Navarra, C. Foral de (NC)",2019,6.61,5.12,5.85
17,País Vasco (PV),2019,7.16,5.42,6.27
18,La Rioja (RI),2019,7.0,5.21,6.09
1,España (ES),2017,7.5,6.2,6.84
2,Andalucía (AN),2017,8.21,7.14,7.66
3,Aragón (AR),2017,7.71,6.04,6.86
4,"Asturias, Principado de (AS)",2017,8.04,6.65,7.31
5,"Balears, Illes (IB)",2017,7.16,5.38,6.26
6,Canarias (CN),2017,9.07,8.36,8.71
7,Cantabria (CB),2017,7.22,5.69,6.43
8,Castilla y León (CL),2017,7.75,6.5,7.12
9,Castilla - La Mancha (CM),2017,6.59,5.22,5.9
10,Cataluña (CT),2017,6.38,5.24,5.8
11,Comunitat Valenciana (VC),2017,8.65,7.03,7.83
12,Extremadura (EX),2017,6.25,5.98,6.12
13,Galicia (GA),2017,8.91,7.25,8.05
14,"Madrid, Comunidad de (MD)",2017,6.47,5.06,5.74
15,"Murcia, Región de (MC)",2017,8.71,7.25,7.98
16,"Navarra, C. Foral de (NC)",2017,6.57,5.1,5.83
17,País Vasco (PV),2017,6.58,5.19,5.87
18,La Rioja (RI),2017,6.87,5.12,5.98
1,España (ES),2018,7.55,6.17,6.85
2,Andalucía (AN),2018,8.33,7.14,7.73
3,Aragón (AR),2018,7.64,5.96,6.79
4,"Asturias, Principado de (AS)",2018,8.1,6.68,7.36
5,"Balears, Illes (IB)",2018,7.25,5.39,6.31
6,Canarias (CN),2018,9.08,8.26,8.66
7,Cantabria (CB),2018,7.35,5.66,6.48
8,Castilla y León (CL),2018,8.03,6.67,7.34
9,Castilla - La Mancha (CM),2018,6.81,5.22,6.02
10,Cataluña (CT),2018,6.4,5.27,5.82
11,Comunitat Valenciana (VC),2018,8.67,7.03,7.83
12,Extremadura (EX),2018,6.21,5.8,6.0
13,Galicia (GA),2018,9.11,7.39,8.22
14,"Madrid, Comunidad de (MD)",2018,6.29,4.79,5.51
15,"Murcia, Región de (MC)",2018,8.83,7.28,8.06
16,"Navarra, C. Foral de (NC)",2018,6.63,5.11,5.86
17,País Vasco (PV),2018,6.69,5.22,5.94
18,La Rioja (RI),2018,7.01,5.19,6.09
1,España (ES),2020,7.94,6.4,7.15
2,Andalucía (AN),2020,8.33,7.01,7.66
3,Aragón (AR),2020,7.65,5.94,6.78
4,"Asturias, Principado de (AS)",2020,8.48,6.77,7.59
5,"Balears, Illes (IB)",2020,7.15,5.47,6.3
6,Canarias (CN),2020,9.43,8.43,8.92
7,Cantabria (CB),2020,7.57,5.97,6.75
8,Castilla y León (CL),2020,8.35,6.77,7.55
9,Castilla - La Mancha (CM),2020,6.21,4.67,5.44
10,Cataluña (CT),2020,8.22,6.35,7.27
11,Comunitat Valenciana (VC),2020,8.78,7.08,7.91
12,Extremadura (EX),2020,6.92,6.48,6.7
13,Galicia (GA),2020,9.4,7.71,8.53
14,"Madrid, Comunidad de (MD)",2020,6.47,5.02,5.72
15,"Murcia, Región de (MC)",2020,8.95,7.22,8.09
16,"Navarra, C. Foral de (NC)",2020,6.67,5.11,5.88
17,País Vasco (PV),2020,6.95,5.34,6.13
18,La Rioja (RI),2020,7.0,5.23,6.11
1,España (ES),2021,6.15,5.26,5.71
2,Andalucía (AN),2021,7.32,6.56,6.94
3,Aragón (AR),2021,5.68,4.66,5.18
4,"Asturias, Principado de (AS)",2021,5.84,5.09,5.46
5,"Balears, Illes (IB)",2021,5.61,4.46,5.04
6,Canarias (CN),2021,7.77,7.12,7.44
7,Cantabria (CB),2021,5.59,4.67,5.13
8,Castilla y León (CL),2021,6.28,5.4,5.84
9,Castilla - La Mancha (CM),2021,5.59,4.83,5.22
10,Cataluña (CT),2021,5.84,4.89,5.38
11,Comunitat Valenciana (VC),2021,6.87,5.84,6.36
12,Extremadura (EX),2021,5.53,5.19,5.36
13,Galicia (GA),2021,7.47,6.46,6.96
14,"Madrid, Comunidad de (MD)",2021,4.71,3.84,4.27
15,"Murcia, Región de (MC)",2021,7.1,5.92,6.52
16,"Navarra, C. Foral de (NC)",2021,4.57,3.8,4.2
17,País Vasco (PV),2021,4.87,3.95,4.41
18,La Rioja (RI),2021,5.18,4.12,4.65
