Region,Año,Hombre,Mujer,Total
España (ES),2021,19.46,5.73,11.5
Andalucía (AN),2021,11.86,2.97,6.76
Aragón (AR),2021,20.59,6.16,12.3
"Asturias, Principado de (AS)",2021,18.77,5.22,10.58
"Balears, Illes (IB)",2021,20.82,6.28,12.69
Canarias (CN),2021,13.52,5.03,8.67
Cantabria (CB),2021,21.7,7.49,13.05
Castilla y León (CL),2021,20.21,4.76,11.49
Castilla - La Mancha (CM),2021,13.32,2.99,7.53
Cataluña (CT),2021,24.05,7.31,14.35
Comunitat Valenciana (VC),2021,16.95,5.25,10.23
Extremadura (EX),2021,16.96,2.88,8.99
Galicia (GA),2021,22.69,5.61,12.95
"Madrid, Comunidad de (MD)",2021,26.45,8.76,15.78
"Murcia, Región de (MC)",2021,20.23,4.34,11.18
"Navarra, C. Foral de (NC)",2021,19.15,6.71,12.04
País Vasco (PV),2021,21.55,7.54,13.28
La Rioja (RI),2021,21.07,7.51,13.19
Ceuta (CE),2021,12.85,2.03,6.91
Melilla (ML),2021,9.87,5.13,7.11
España (ES),2017,34.51,8.82,19.61
Andalucía (AN),2017,20.67,4.21,11.19
Aragón (AR),2017,38.51,10.23,22.45
"Asturias, Principado de (AS)",2017,40.57,8.65,21.32
"Balears, Illes (IB)",2017,37.11,12.13,22.94
Canarias (CN),2017,24.46,9.28,15.79
Cantabria (CB),2017,44.43,10.72,24.44
Castilla y León (CL),2017,29.22,5.95,16.04
Castilla - La Mancha (CM),2017,32.97,5.68,17.67
Cataluña (CT),2017,39.36,10.88,22.77
Comunitat Valenciana (VC),2017,32.65,8.35,18.76
Extremadura (EX),2017,28.48,2.92,14.15
Galicia (GA),2017,37.55,9.06,21.26
"Madrid, Comunidad de (MD)",2017,48.49,13.79,27.5
"Murcia, Región de (MC)",2017,38.85,6.96,20.6
"Navarra, C. Foral de (NC)",2017,34.98,9.95,20.59
País Vasco (PV),2017,33.79,10.12,20.01
La Rioja (RI),2017,49.04,14.18,29.06
Ceuta (CE),2017,23.16,6.71,14.04
Melilla (ML),2017,20.38,5.63,12.05
España (ES),2019,33.95,9.45,19.76
Andalucía (AN),2019,20.7,4.69,11.46
Aragón (AR),2019,35.1,10.5,21.05
"Asturias, Principado de (AS)",2019,35.81,9.3,19.76
"Balears, Illes (IB)",2019,37.27,11.4,22.68
Canarias (CN),2019,25.6,10.46,16.95
Cantabria (CB),2019,36.97,10.92,21.44
Castilla y León (CL),2019,32.61,7.53,18.41
Castilla - La Mancha (CM),2019,31.77,5.89,17.38
Cataluña (CT),2019,39.74,11.23,23.22
Comunitat Valenciana (VC),2019,30.11,8.78,17.85
Extremadura (EX),2019,28.78,4.05,14.84
Galicia (GA),2019,36.62,8.91,20.76
"Madrid, Comunidad de (MD)",2019,48.49,15.22,28.41
"Murcia, Región de (MC)",2019,34.8,7.13,19.03
"Navarra, C. Foral de (NC)",2019,36.33,12.8,22.83
País Vasco (PV),2019,33.34,10.59,20.07
La Rioja (RI),2019,44.7,16.5,28.58
Ceuta (CE),2019,20.92,4.6,12.4
Melilla (ML),2019,19.01,4.29,10.17
España (ES),2020,22.93,6.2,13.26
Andalucía (AN),2020,14.69,3.19,8.07
Aragón (AR),2020,22.76,7.02,13.78
"Asturias, Principado de (AS)",2020,24.1,6.19,13.43
"Balears, Illes (IB)",2020,26.98,7.18,15.92
Canarias (CN),2020,18.52,6.48,11.66
Cantabria (CB),2020,26.26,9.0,15.92
Castilla y León (CL),2020,23.49,4.89,12.98
Castilla - La Mancha (CM),2020,15.33,2.7,8.27
Cataluña (CT),2020,27.22,7.38,15.75
Comunitat Valenciana (VC),2020,19.28,5.69,11.49
Extremadura (EX),2020,18.34,2.94,9.63
Galicia (GA),2020,25.2,6.13,14.3
"Madrid, Comunidad de (MD)",2020,34.39,10.19,19.78
"Murcia, Región de (MC)",2020,22.2,5.2,12.52
"Navarra, C. Foral de (NC)",2020,25.97,7.3,15.33
País Vasco (PV),2020,20.73,6.78,12.58
La Rioja (RI),2020,24.96,9.38,16.09
Ceuta (CE),2020,12.31,1.88,6.71
Melilla (ML),2020,20.28,4.63,11.2
España (ES),2018,36.06,9.52,20.7
Andalucía (AN),2018,21.61,4.22,11.63
Aragón (AR),2018,39.69,10.29,23.01
"Asturias, Principado de (AS)",2018,39.27,9.58,21.37
"Balears, Illes (IB)",2018,40.85,13.52,25.37
Canarias (CN),2018,26.47,10.78,17.39
Cantabria (CB),2018,42.91,13.63,25.46
Castilla y León (CL),2018,33.38,7.88,18.99
Castilla - La Mancha (CM),2018,30.11,5.55,16.39
Cataluña (CT),2018,42.79,10.77,24.21
Comunitat Valenciana (VC),2018,33.08,9.3,19.54
Extremadura (EX),2018,27.04,3.35,13.66
Galicia (GA),2018,40.8,9.25,22.79
"Madrid, Comunidad de (MD)",2018,49.68,14.93,28.7
"Murcia, Región de (MC)",2018,36.65,8.15,20.41
"Navarra, C. Foral de (NC)",2018,39.26,12.22,23.79
País Vasco (PV),2018,36.76,11.5,22.0
La Rioja (RI),2018,51.8,18.13,32.58
Ceuta (CE),2018,26.7,4.37,13.77
Melilla (ML),2018,23.4,4.17,12.24
